Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
62,13/09/2019,11,MT,1,D,3,17,30.890463,15.45219294,0.955423258,10.42469958,1.34627964,0.382153664,0,0,0,0,0,0,0,0,0,12.47741006,0,2350183150,231048505.4,9.369687889,0.043030626,1633040293,140187323.3,9.211915004,0.037675551,3983223443,371093325.7,9.598963116,0.040823222,1.438130763,0.019118897,58.98329675,0.320572318
63,13/09/2019,11,LT,1,P,,,36.93491414,25.75845868,0.804919297,6.877913672,1.615697419,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
64,13/09/2019,11,LT,1,D,,,52.86248671,24.24086891,1.548925496,15.28238641,2.234185108,0.803446851,0,0.364047937,0.141940234,0,,,,,,,,,,,,,,,,,,,,,,,
65,14/09/2019,12,MT,1,P,3,,22.70618086,13.60040531,0.832678453,7.42423235,1.311017502,0,0,0,0,0,,,,,,,,1490394819,8022263.263,9.173298186,0.002337663,1294872035,2961726.905,9.112226284,0.000993351,2785266854,10983990.17,9.444865122,0.00171269,1.150993691,0.003562772,53.50979522,0.077003488
66,14/09/2019,12,MT,1,D,3,,36.86998679,17.82769376,1.079305017,10.98758466,1.435816672,0.304252744,0,0,0,0,,,,,,,,2193428030,211998112.6,9.340106771,0.04204075,1648958333,224801030.9,9.215182338,0.059391412,3842386364,436799143.5,9.583193389,0.049476968,1.333821475,0.053273832,57.14065487,0.978344572
67,14/09/2019,12,LT,1,P,,,41.92058527,29.80290832,0.693077947,6.311882218,1.469995056,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
68,14/09/2019,12,LT,1,D,,,48.81002202,25.77856842,1.527863391,13.65784571,2.252011075,0.602884406,0,0.263622058,0.128623984,0,,,,,,,,,,,,,,,,,,,,,,,
69,15/09/2019,13,MT,1,P,3,,24.18613683,13.54714614,0.877112846,7.472307198,1.336580243,0,0,0,0,0,,,,,,,,1437215909,271834345.5,9.153602772,0.082637336,1332954545,190436712.7,9.122587825,0.062259215,2770170455,462271058.2,9.439461783,0.072811911,1.074617603,0.050405096,51.78411503,1.171457481
70,15/09/2019,13,MT,1,D,3,,37.36369856,17.34305638,0.958960165,10.52379796,1.389712252,0.311294769,0,0.140750847,0,0,,,,,,,,2334646465,89852558.66,9.368060244,0.016718638,1832407828,34360746.95,9.262983958,0.008144234,4167054293,124213305.6,9.619732665,0.01294755,1.273850924,0.025148381,56.01905328,0.486421328
71,15/09/2019,13,LT,1,P,,,41.55219915,30.16584866,0.511561015,4.599525428,1.107929002,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
